,index,TF,target,importance
762,10,HIF1A,MMP1,21.445235771418194
763,113,RUNX2,MMP1,17.065646243078064
499,91,TEAD2,CCND1,12.315953036361037
779,70,RARG,MMP2,7.471832583086408
827,17,CCND1,COL1A2,7.376467678799197
856,101,JUN,TNC,5.301912858945765
282,9,SMAD3,SOX17,3.7346356776423533
283,9,SMAD3,NFKB1,3.1979891673500913
662,0,TBP,FN1,2.4735970639881018
95,101,JUN,BCL6,2.4515708153788576
708,109,MAPK14,TIMP1,2.3809723766308957
688,41,CUX1,ACTA2,2.0729001151147273
858,0,TBP,TNC,2.0540951982582474
11,156,STAT3,CCND1,1.915484429593698
829,5,TCF4,COL1A2,1.879566261406722
780,51,MYC,MMP2,1.8182799228457416
663,208,E2F1,FN1,1.816147258859413
13,157,STAT3,BCL6,1.7559334388393602
550,74,TEAD4,SMARCA4,1.7114001292652126
729,113,RUNX2,SERPINE1,1.6578376165520434
184,18,RELA,E2F1,1.5982422767968836
689,8,NFATC1,ACTA2,1.5837818782801494
731,10,HIF1A,SERPINE1,1.5709764756083318
803,30,SMARCA4,POSTN,1.5600765473262546
804,9,SMAD3,POSTN,1.5335677656108175
97,100,JUN,KLF4,1.5269243049367447
664,5,TCF4,FN1,1.5057360689870944
641,55,SOX17,CTGF,1.4204637728589709
442,7,NFATC1,TBP,1.393014371314226
748,0,TBP,MMP14,1.3146264040411524
284,9,SMAD3,ATF3,1.3057993628056552
764,142,ATF3,MMP1,1.305189479362284
665,75,TEAD4,FN1,1.2982493104055624
781,92,TEAD2,MMP2,1.274375834916625
610,130,YAP1,STAT3,1.1611944292091327
691,109,MAPK14,ACTA2,1.1166505893904661
818,49,KLF11,COL1A1,1.1110585587981792
692,166,TP53,ACTA2,1.0875274724843855
186,18,RELA,RARG,0.9962097189155946
765,208,E2F1,MMP1,0.9513955811165898
766,101,JUN,MMP1,0.9372009634184123
782,157,STAT3,MMP2,0.8846061051029228
861,57,CEBPD,TNC,0.8755940767395215
335,50,MYC,KLF11,0.85301271968406
24,156,STAT3,TCF4,0.8059198755008293
717,14,KLF4,TIMP2,0.7772265731579856
783,128,NFKB1,MMP2,0.7313378250140328
338,50,MYC,HIF1A,0.6819074559938375
339,50,MYC,RELA,0.681110899562352
466,86,NFATC3,CEBPD,0.6481723411781568
26,157,STAT3,ASH2L,0.6312474244080785
445,8,NFATC1,TFAP2A,0.6298884171070134
467,87,NFATC3,RUNX2,0.6156557445425102
819,51,MYC,COL1A1,0.5782727273164674
555,74,TEAD4,RARG,0.5602780654452205
784,103,TFAP2A,MMP2,0.5432936044958413
556,75,TEAD4,JUN,0.5304880581353942
27,157,STAT3,TP53,0.5097022587775865
193,18,RELA,MAPK14,0.49105380213306027
843,175,BCL6,COL3A1,0.479326345773545
882,195,ASH2L,SPP1,0.4626812209727142
560,74,TEAD4,CUX1,0.4468096026203055
