,index,TF,target,importance
737,191,GLI2,ACTA2,42.34819517419862
229,200,CREB1,RELB,41.854764625537555
884,154,SOX9,POSTN,33.79474873636155
785,173,GATA2,SERPINE1,25.172717306254235
531,91,TEAD2,CCND1,18.493463157389137
738,109,MAPK14,ACTA2,17.42331297821696
820,8,NFATC1,MMP14,15.17825216131851
821,101,JUN,MMP14,12.566215731153836
849,10,HIF1A,MMP1,10.763885611392006
506,112,SRF,ETV4,10.375006293612808
787,134,FLI1,SERPINE1,9.827916102861304
929,156,ETV4,COL3A1,8.129231071016275
788,10,HIF1A,SERPINE1,7.45040259103084
822,127,LEF1,MMP14,7.385346763326024
90,100,JUN,RELB,7.004377775575956
789,136,AHR,SERPINE1,6.716844061724588
791,95,TRIM28,SERPINE1,5.569641113222762
8,157,STAT3,CREB1,5.317891386572562
823,95,TRIM28,MMP14,5.301328376392071
296,9,SMAD3,RBPJ,5.163416454416426
10,156,STAT3,RELB,4.6501754771507535
91,100,JUN,KLF4,4.4537456844164725
181,18,RELA,STAT5A,4.211261212060164
792,158,STAT5A,SERPINE1,4.198556015937237
534,92,TEAD2,ETV4,4.117406238121915
760,134,FLI1,TIMP1,4.018160266341849
238,200,CREB1,KLF4,3.911951877116691
535,91,TEAD2,NR3C1,3.148491092003103
793,224,NOTCH1,SERPINE1,3.1264629344004744
794,51,MYC,SERPINE1,2.966502944571666
913,17,CCND1,COL1A2,2.8223172123811553
824,0,TBP,MMP14,2.7491782381784504
944,4,SMAD4,TNC,2.674916258755223
13,157,STAT3,GATA2,2.6674624812693737
355,51,MYC,TRIM28,2.6513262942034452
741,127,LEF1,ACTA2,2.5919077668420143
589,75,TEAD4,MAPK14,2.5721458927946257
795,9,SMAD3,SERPINE1,2.548876538295734
866,128,NFKB1,MMP2,2.325757266752705
945,101,JUN,TNC,2.2384321561641896
867,92,TEAD2,MMP2,2.1883399190495734
94,101,JUN,CREB1,2.050364428125772
964,173,GATA2,SPP1,2.0348924176635332
742,122,RBPJ,ACTA2,2.0216401167669638
591,75,TEAD4,SOX9,1.918266233838541
538,91,TEAD2,SMARCA4,1.8238928618218873
650,130,YAP1,GATA2,1.7466774958069355
360,50,MYC,KLF11,1.6193119086779086
743,9,SMAD3,ACTA2,1.6041296524701665
303,9,SMAD3,ATF3,1.4468362076473549
19,156,STAT3,CCND1,1.4056240480194575
887,30,SMARCA4,POSTN,1.4038351803301932
509,111,SRF,TRIM28,1.3765569090227159
798,142,ATF3,SERPINE1,1.3475454909244953
96,100,JUN,CCND1,1.3412541452058058
20,156,STAT3,RBPJ,1.3103854784368858
304,9,SMAD3,NFKB1,1.2722419689672728
470,8,NFATC1,RBPJ,1.2193205470868596
305,9,SMAD3,CREB1,1.2142609491623582
931,112,SRF,COL3A1,1.2133068992514835
746,134,FLI1,ACTA2,1.2102670157426494
490,87,NFATC3,AHR,1.2008125890770136
825,201,CREB1,MMP14,1.1877753366406978
242,200,CREB1,TBP,1.1611870494955918
799,18,RELA,SERPINE1,1.0781430154611613
747,8,NFATC1,ACTA2,1.0780467277829953
966,57,CEBPD,SPP1,1.0551597277866869
596,75,TEAD4,TRIM28,1.0360389169046051
471,8,NFATC1,LEF1,1.0276066055263762
967,172,FOXP1,SPP1,0.974521492258666
852,118,FOS,MMP1,0.9654804575392001
24,157,STAT3,NOTCH1,0.9431726653893334
542,91,TEAD2,KLF4,0.9425640404833208
868,38,EGR1,MMP2,0.9154422515662016
368,50,MYC,RELA,0.9026488840714251
25,156,STAT3,EGR1,0.8933202203275993
307,9,SMAD3,ETS1,0.8478475407792295
370,51,MYC,FLI1,0.8247601616073711
915,40,NR3C1,COL1A2,0.7693397756363904
774,14,KLF4,TIMP2,0.7395837121307927
707,0,TBP,FN1,0.7376438850056778
602,75,TEAD4,GLI2,0.6283726004124697
141,127,NFKB1,SMAD4,0.6162520475404364
870,91,RELB,MMP2,0.6026585776458504
775,133,ETS1,TIMP2,0.5887795820973698
763,49,KLF11,TIMP1,0.5436276070675943
377,50,MYC,HIF1A,0.4835603626479118
491,86,NFATC3,CEBPD,0.453016540359318
187,18,RELA,EGR1,0.3865786894377807
188,18,RELA,FOXP1,0.3645300695435329
711,87,NFATC3,FN1,0.3240872540117193
