,index,TF,target,importance
813,100,JUN,MMP14,29.48710108668637
493,111,SRF,ETV4,25.413926977590034
814,8,NFATC1,MMP14,15.44340075455309
815,126,LEF1,MMP14,13.595152987753302
516,91,TEAD2,ETV4,11.059693452805421
853,99,NFIA,MMP2,10.54789254916995
817,94,TRIM28,MMP14,7.93303128077136
819,146,BMI1,MMP14,7.463928718700408
780,112,RUNX2,SERPINE1,5.601638882387855
517,90,TEAD2,CCND1,5.447685080899717
822,201,CREB1,MMP14,5.056474058793284
930,100,JUN,TNC,4.195714822402898
579,73,TEAD4,SMARCA4,3.8428366657553505
580,74,TEAD4,SOX9,3.757342707802733
455,8,NFATC1,LEF1,3.3626713870576013
8,155,STAT3,YAP1,3.3244579865390995
499,110,SRF,TRIM28,3.2216386747630215
931,199,NFE2L2,TNC,3.218456347506727
855,4,SMAD4,MMP2,3.1647906949177944
11,156,STAT3,BCL6,2.7516600269022167
694,112,RUNX2,FN1,2.6008282988775564
352,50,MYC,YAP1,2.492115312403114
740,8,NFATC1,ACTA2,2.458037454123724
520,90,TEAD2,SMARCA4,2.4414781370880907
297,9,SMAD3,CREB1,2.035305294827461
781,178,RUNX1,SERPINE1,1.9803030718322565
856,156,STAT3,MMP2,1.8757735144321497
141,126,NFKB1,NFIA,1.5179053144480998
298,9,SMAD3,NFKB1,1.508499280413445
142,126,NFKB1,SMAD4,1.4564089267806084
825,12,SMARCA2,MMP14,1.428682912742098
858,91,TEAD2,MMP2,1.4110845779196395
20,155,STAT3,TCF4,1.3194325945956213
360,49,MYC,RELA,1.2723259232056916
876,153,SOX9,POSTN,1.225919658397033
526,90,TEAD2,MYC,1.1866831811498377
364,50,MYC,TRIM28,1.1488352488484312
911,17,CCND1,COL1A2,1.1412009322639276
365,50,MYC,NFE2L2,1.0824891093925568
458,8,NFATC1,BMI1,1.0056991924449235
890,48,KLF11,COL1A1,0.9935683137595267
783,18,RELA,SERPINE1,0.9746479939521662
700,5,TCF4,FN1,0.9123552199274726
785,100,JUN,SERPINE1,0.8032944210245035
673,4,SMAD4,CTGF,0.7785717159307821
760,178,RUNX1,TIMP1,0.7286152558049298
635,129,YAP1,SOX9,0.7223718111008012
786,9,SMAD3,SERPINE1,0.7075050524667911
920,174,BCL6,COL3A1,0.7068635756742545
144,127,NFKB1,RUNX1,0.6980428277230278
372,49,MYC,KLF11,0.6856007213709419
308,9,SMAD3,BMI1,0.6401596656254883
636,128,YAP1,SMARCA2,0.6281151112771425
478,86,NFATC3,RUNX2,0.5367939166250763
892,155,ETV4,COL1A1,0.32108521266553314
148,127,NFKB1,CREB1,0.32048083989936343
921,30,SMARCA4,COL3A1,0.2777149283820303
