,index,TF,target,importance
494,90,TEAD2,CCND1,33.949779276861165
470,111,SRF,ETV4,15.438005660507045
745,112,RUNX2,SERPINE1,12.881948336314217
287,9,SMAD3,NFKB1,5.446885541039567
333,49,MYC,RXRA,5.422933347463875
698,41,CUX1,ACTA2,5.253779586886703
908,56,CEBPD,TNC,4.606128274247542
893,155,ETV4,COL3A1,4.170090529059641
652,50,MYC,FN1,3.848984220960899
699,8,NFATC1,ACTA2,3.5474744907032263
840,153,SOX9,POSTN,3.422166158041384
877,17,CCND1,COL1A2,3.0078750991842598
841,41,CUX1,POSTN,2.98066786433252
909,100,JUN,TNC,2.946098105343928
475,111,SRF,STAT3,2.9222334092364965
89,99,JUN,CCND1,2.9032762636965543
801,141,ATF3,MMP1,2.736770809183938
818,99,NFIA,MMP2,2.6323308692317124
127,127,NFKB1,RCOR1,2.604685254452906
750,15,RXRA,SERPINE1,2.3347793502017584
288,9,SMAD3,ETS1,2.183133961886757
820,127,NFKB1,MMP2,1.9586529216669148
600,129,YAP1,STAT3,1.9512781104290151
802,98,GATA6,MMP1,1.9326433342702585
499,91,TEAD2,RUNX2,1.9313169365961216
172,18,RELA,ETV4,1.890741540413043
638,153,SOX9,CTGF,1.8636721841473383
231,200,CREB1,JUN,1.8502904373228843
232,200,CREB1,TCF4,1.7724125861643811
90,99,JUN,GATA6,1.712143248530936
844,9,SMAD3,POSTN,1.6553197809447369
657,17,CCND1,FN1,1.616227154304499
911,0,TBP,TNC,1.5239515494196734
173,17,RELA,CCND1,1.4666931272354344
11,155,STAT3,JUN,1.4384593763663123
436,7,NFATC1,TBP,1.4312562467458514
701,126,LEF1,ACTA2,1.3719466720780762
476,111,SRF,LEF1,1.1729588522750045
894,225,RCOR1,COL3A1,1.1506152210646392
547,73,TEAD4,RXRA,1.0439921050196643
822,91,TEAD2,MMP2,1.0363999365827914
912,5,TCF4,TNC,0.9158706236586458
291,9,SMAD3,TFAP2A,0.8396175693711465
659,132,ETS1,FN1,0.8275209692940705
346,50,MYC,FLI1,0.8263161775073892
551,74,TEAD4,SOX9,0.7775413842370502
660,156,STAT3,FN1,0.7481331113864315
129,127,NFKB1,ETS1,0.7400104136517481
455,86,NFATC3,SOX9,0.7288974925269018
602,128,YAP1,CUX1,0.6891408366565577
780,133,FLI1,MMP14,0.6883552943721578
603,128,YAP1,MYC,0.6506696214840638
878,132,ETS1,COL1A2,0.641221692757857
727,102,TFAP2A,TIMP2,0.5639902889176669
781,126,LEF1,MMP14,0.5487876655770058
554,74,TEAD4,RUNX2,0.5443579726334431
131,126,NFKB1,SRF,0.5416736728631962
294,9,SMAD3,ATF3,0.4875562660878295
782,8,NFATC1,MMP14,0.45188465577527204
136,126,NFKB1,CEBPD,0.335918178666877
608,128,YAP1,NFIA,0.3304033431275289
