,index,TF,target,importance
833,10,HIF1A,MMP1,59.45838711425183
508,112,SRF,ETV4,25.367989110434348
746,109,MAPK14,ACTA2,21.126082765528245
747,8,NFATC1,ACTA2,15.686157780327383
748,127,LEF1,ACTA2,13.3179250389203
677,154,SOX9,CTGF,12.327566184409344
932,57,CEBPD,TNC,9.62571728992414
143,128,NFKB1,STAT5A,9.101330945815308
534,91,TEAD2,CCND1,7.67899960251832
834,101,JUN,MMP1,7.636334062125881
491,87,NFATC3,AHR,6.828988536571286
492,87,NFATC3,RUNX2,6.490153780975105
917,156,ETV4,COL3A1,6.4884133300244695
536,92,TEAD2,ETV4,6.300292774130056
783,113,RUNX2,SERPINE1,6.047562595873547
933,101,JUN,TNC,5.951610692225335
785,158,STAT5A,SERPINE1,4.712026534063182
903,18,RELA,COL1A2,4.683616220473948
312,9,SMAD3,ATF3,4.113936271522745
866,159,STAT5B,POSTN,3.9576559809669267
934,9,SMAD3,TNC,3.9066965589786515
254,201,CREB1,RELB,3.4813430806701833
787,136,AHR,SERPINE1,3.3006694880103136
15,157,STAT3,BCL6,3.2686822414037406
100,101,JUN,BCL6,3.103857240133832
680,55,SOX17,CTGF,2.952198079683517
538,92,TEAD2,STAT5A,2.882521558683693
17,156,STAT3,CCND1,2.7680230976806106
18,156,STAT3,ATF3,2.7643748102395427
493,86,NFATC3,NR3C1,2.583338231609594
102,100,JUN,CEBPD,2.5590568828022335
19,156,STAT3,TCF4,2.526633034877306
682,75,TEAD4,CTGF,2.464261419676009
539,91,TEAD2,SMARCA4,2.3068934973161106
588,75,TEAD4,RUNX2,2.2898943459950756
20,156,STAT3,FOS,2.264460810162928
540,91,TEAD2,SMAD2,2.231741574276212
936,142,ATF3,TNC,2.1494153798664373
937,3,SMAD2,TNC,2.138147696300709
815,101,JUN,MMP14,2.089779205573542
192,18,RELA,STAT5A,1.9599862881444567
193,18,RELA,CREB1,1.8759774705578636
314,9,SMAD3,NFKB1,1.847385289845227
23,156,STAT3,RELB,1.7842063931670338
683,113,RUNX2,CTGF,1.728113888234302
24,156,STAT3,EP300,1.6702586499637544
836,118,FOS,MMP1,1.627874526593945
684,10,HIF1A,CTGF,1.6241521153607952
851,92,TEAD2,MMP2,1.614570263985479
315,9,SMAD3,SOX17,1.5880190509580216
195,18,RELA,STAT5B,1.5855138851901054
918,175,BCL6,COL3A1,1.5764071476319619
919,216,FOXP2,COL3A1,1.5726614714147118
642,130,YAP1,STAT3,1.4945893411776159
716,5,TCF4,FN1,1.43797893142383
103,101,JUN,CREB1,1.2574337568359606
28,157,STAT3,CREB1,1.2389781844967525
920,30,SMARCA4,COL3A1,1.2348514593028963
366,50,MYC,CCND1,1.2257519365582714
367,50,MYC,RELA,1.2220854796911758
471,8,NFATC1,LEF1,1.1937654051547182
198,18,RELA,CEBPD,1.1768758544303246
685,9,SMAD3,CTGF,1.1589959390907913
368,51,MYC,CREB1,1.1574526512785137
867,154,SOX9,POSTN,1.0644735276218151
839,113,RUNX2,MMP1,1.016591296464921
32,156,STAT3,AHR,1.0126797279495174
513,111,SRF,HIF1A,0.9080075078628578
905,40,NR3C1,COL1A2,0.8883248237694503
317,9,SMAD3,MITF,0.8704248715652948
264,201,CREB1,JUN,0.8280901651246557
593,75,TEAD4,SOX9,0.8165433575251199
372,51,MYC,YAP1,0.815117815615835
374,50,MYC,TCF4,0.7655879114860845
882,51,MYC,COL1A1,0.761456995904619
375,50,MYC,KLF11,0.7379171008319603
377,51,MYC,TP53,0.6917503338278914
378,51,MYC,FOXP2,0.6615746481085308
884,67,EP300,COL1A1,0.5820528664606868
318,9,SMAD3,ETS1,0.5793878880646424
153,127,NFKB1,MAPK14,0.5469587347914776
774,49,KLF11,TIMP2,0.5176727731197208
906,17,CCND1,COL1A2,0.49278161529294867
869,166,TP53,POSTN,0.3388427994600615
720,133,ETS1,FN1,0.33537122968370914
852,171,MITF,MMP2,0.28404970899423393
853,91,RELB,MMP2,0.21042512723626428
