,index,TF,target,importance
806,136,AHR,SERPINE1,68.06901609543849
807,113,RUNX2,SERPINE1,55.67045451046081
247,201,CREB1,BCL6,42.744676620858414
518,112,SRF,ETV4,35.89793817459101
759,192,GLI2,ACTA2,22.188872227913564
542,92,TEAD2,ETV4,18.805063756205616
810,134,FLI1,SERPINE1,17.398441668038306
544,91,TEAD2,CCND1,13.806792983433258
970,69,ATF1,TNC,9.769240570819626
7,157,STAT3,BCL6,9.015652100881073
760,179,RUNX1,ACTA2,8.51415429533739
936,17,CCND1,COL1A2,8.233643705345491
97,101,JUN,BCL6,7.965744922519851
761,134,FLI1,ACTA2,6.668647599230263
546,92,TEAD2,FOS,5.572936508792041
864,113,RUNX2,MMP1,4.863750267800743
953,156,ETV4,COL3A1,4.387298998468463
254,201,CREB1,KLF4,4.2697079085963
811,158,STAT5A,SERPINE1,4.252106737677515
913,179,RUNX1,COL1A1,3.9871028892505254
782,134,FLI1,TIMP1,3.8302283025414905
955,175,BCL6,COL3A1,3.78085757069466
11,156,STAT3,FOS,3.141757017555195
702,154,SOX9,CTGF,3.0137893655951413
602,75,TEAD4,SOX9,2.701193044636223
896,154,SOX9,POSTN,2.6793513230464425
312,9,SMAD3,ATF3,2.5611735457897717
198,18,RELA,SOX9,2.5454460774034082
841,127,LEF1,MMP14,2.5040921979707638
363,51,MYC,TP53,2.410464373108986
842,101,JUN,MMP14,2.045575438676462
520,111,SRF,TRIM28,1.9037525279960112
199,18,RELA,STAT5A,1.8760471618004861
843,95,TRIM28,MMP14,1.803565260100224
666,130,YAP1,STAT3,1.7878071935716418
605,75,TEAD4,BMI1,1.7871043566672546
973,166,TP53,TNC,1.7769894903540666
762,41,CUX1,ACTA2,1.7659731552794757
521,112,SRF,LEF1,1.743430891836668
816,142,ATF3,SERPINE1,1.6911138576911835
844,8,NFATC1,MMP14,1.6730164697266439
817,95,TRIM28,SERPINE1,1.664152916891823
150,127,NFKB1,SRF,1.6360692753786352
764,107,HMGA1,ACTA2,1.5838060922454078
845,147,BMI1,MMP14,1.5079504945687026
819,179,RUNX1,SERPINE1,1.4318862431600197
956,107,HMGA1,COL3A1,1.3695334638445469
316,9,SMAD3,NFKB1,1.3663562954797492
371,51,MYC,CREB1,1.3335808843079189
724,113,RUNX2,FN1,1.2910640625377896
941,127,LEF1,COL1A2,1.1859071264181607
608,74,TEAD4,CUX1,1.158090280835844
765,157,STAT3,ACTA2,1.1272596368758612
609,74,TEAD4,NFATC1,1.0698597779782744
375,51,MYC,ASH2L,1.0565051710666469
103,101,JUN,FLI1,1.0559912711180155
376,51,MYC,TRIM28,1.0499377454601633
993,195,ASH2L,SPP1,1.0459155381226384
942,175,BCL6,COL1A2,1.018628195952086
725,189,PLAU,FN1,1.0184137389001156
916,14,KLF4,COL1A1,1.0049628069736039
917,51,MYC,COL1A1,0.9870534536498609
263,201,CREB1,KDM5B,0.9744300147673787
154,128,NFKB1,RUNX1,0.934694892058781
203,18,RELA,PLAU,0.9103471154592886
379,51,MYC,ATF1,0.8745396876263156
881,157,STAT3,MMP2,0.8671167004171008
554,92,TEAD2,HMGA1,0.8050086170304229
381,50,MYC,KLF4,0.792027688408554
319,9,SMAD3,CREB1,0.7893546916059803
501,86,NFATC3,RARG,0.7812375028441857
1,200,STAT1,MYC,0.7367241595618165
727,9,SMAD3,FN1,0.7090757715219476
384,50,MYC,RELA,0.6865049762262417
28,156,STAT3,KLF4,0.6258525814290902
140,117,FOS,RUNX2,0.6145990058594271
795,145,KDM5B,TIMP2,0.5905418218815266
882,70,RARG,MMP2,0.5856695722974504
158,128,NFKB1,GLI2,0.5721684445459502
482,8,NFATC1,AHR,0.5700864923558819
