,index,TF,target,importance
504,112,SRF,ETV4,14.020904857004513
310,9,SMAD3,ATF3,11.931132954538437
676,154,SOX9,CTGF,6.589565023779452
858,159,STAT5B,POSTN,5.938160368833436
7,156,STAT3,YAP1,5.328268010787287
154,127,NFKB1,SMAD4,3.8695959720557904
837,4,SMAD4,MMP2,3.442487351942566
859,154,SOX9,POSTN,3.3527973223154395
677,75,TEAD4,CTGF,2.9583942221981387
737,107,HMGA1,ACTA2,2.9107086938092466
898,107,HMGA1,COL3A1,2.9040539421608402
899,156,ETV4,COL3A1,2.8419011534937364
900,112,SRF,COL3A1,2.6470429803435254
251,201,CREB1,RUNX1,2.5846433956525083
821,101,JUN,MMP1,2.5335666289642176
838,70,RARG,MMP2,2.2284504903552596
739,101,JUN,ACTA2,1.748150920926041
913,101,JUN,TNC,1.6049542173468416
508,111,SRF,TRIM28,1.6028029965884476
486,87,NFATC3,AHR,1.600084744621189
531,92,TEAD2,BACH1,1.5291153715168062
778,173,GATA2,SERPINE1,1.3329181556396115
826,178,BACH1,MMP1,1.3104120734867375
373,51,MYC,HMGA1,1.302377265005356
374,51,MYC,YAP1,1.2838511658056904
467,8,NFATC1,AHR,1.2654906724227915
839,157,STAT3,MMP2,1.2436058546789854
375,51,MYC,ETV4,1.2202895874572948
158,128,NFKB1,CREB1,1.1547411876335991
261,201,CREB1,SRF,1.121916967795787
927,195,ASH2L,SPP1,0.9674249876013397
159,128,NFKB1,STAT5B,0.9527967118745847
806,8,NFATC1,MMP14,0.8779894012974578
713,95,TRIM28,FN1,0.75584586778763
683,9,SMAD3,CTGF,0.7494438279515141
643,130,YAP1,GATA2,0.7298212029111818
780,136,AHR,SERPINE1,0.6671105459459987
714,142,ATF3,FN1,0.6385498595689479
383,51,MYC,ASH2L,0.5860641282720793
28,156,STAT3,TEAD4,0.5629514732066504
840,51,MYC,MMP2,0.5443723816075156
590,74,TEAD4,RARG,0.5322700290022082
313,9,SMAD3,NFKB1,0.5239391954220702
591,75,TEAD4,SOX9,0.5103950675519024
684,179,RUNX1,CTGF,0.4049372336241752
